"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Zambrano A.B.; Pérez D.A.Q.","Zambrano, Armando Briñis (59327988800); Pérez, David Alberto Quintana (59328619500)","59327988800; 59328619500","Benefits and Limitations for Salvadoran University Teachers and Students on the Use of AI in Teaching-Learning Processes; [Beneficios estudiantes universitarios salvadoreños sobre el uso de IA en procesos de enseñanza-aprendizaje]","2024","European Public and Social Innovation Review","9","","","","","7","10.31637/epsir-2024-368","https://www.scopus.com/pages/publications/85204009198?origin=resultslist","Universidad Evangélica de El Salvador, El Salvador","Zambrano A.B., Universidad Evangélica de El Salvador, El Salvador; Pérez D.A.Q., Universidad Evangélica de El Salvador, El Salvador","Introduction: The study examines the benefits and limitations perceived by Salvadoran university teachers and students on the use of artificial intelligence (AI) in teaching-learning processes. Methodology: A mixed methodology was used with interviews to 5 teachers and questionnaires to 673 students from 20 Salvadoran universities. Results: The results indicate that most of them have a basic knowledge of AI tools such as ChatGPT and Copilot. Perceptions are predominantly positive, although there are concerns about ethical-academic integrity and the need for training. Discussion: The need for a balanced approach that maximises the benefits of AI and mitigates its risks is highlighted, suggesting future research to explore improvements in higher education. Conclusions: AI has great potential, but it is critical to address current limitations and promote thoughtful and careful implementation in university education. © 2024, HISIN (History of Information Systems). All rights reserved.","Artificial Intelligence; benefits; education; ethics; learning; limitation; processes; teaching","","","","HISIN (History of Information Systems)","25299824","","","","Spanish","Eur. public soc. innov. rev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85204009198"
"Carrasco-Rodríguez A.; Álvarez Sepúlveda H.","Carrasco-Rodríguez, Antonio (58517197400); Álvarez Sepúlveda, Humberto (57222041539)","58517197400; 57222041539","Generative Artificial Intelligence as an aid for the assessment of Early Modern History student work in higher education; [A Inteligência Artificial Generativa como recurso na avaliação de trabalhos de estudantes de História Moderna na educação superior]","2025","Texto Livre","19","","e59410","","","0","10.1590/1983-3652.2026.59410","https://www.scopus.com/pages/publications/105034881186?origin=resultslist","Universidad de Alicante, Facultad de Filosofía y Letras, Alicante, Spain; Universidad Católica de la Santísima Concepción, Facultad de Educación, Concepción, Chile","Carrasco-Rodríguez A., Universidad de Alicante, Facultad de Filosofía y Letras, Alicante, Spain; Álvarez Sepúlveda H., Universidad Católica de la Santísima Concepción, Facultad de Educación, Concepción, Chile","This article examines the use of generative artificial intelligence (AI) as a supportive instrument in the assessment of undergraduate academic work in Early Modern American History. Drawing on a hybrid evaluation model that integrates human judgment with AI-assisted assessment, the study implemented three successive stages of correction: an initial assessment based on a basic rubric, a second evaluation using an advanced analytical rubric, and a final phase involving the critical recalibration of prior results. The corpus consisted of 21 research-based assignments produced by fourth-year History students and evaluated according to technical, historiographical, and critical-thinking criteria. The findings show that, once properly calibrated, the AI system was able to discriminate effectively between different levels of academic quality and to identify recurring patterns of historical reasoning in student work. A comparison between human-generated and AI-generated grades revealed a high degree of convergence, alongside significant divergences. While the AI demonstrated greater sensitivity to methodological rigor and critical engagement, human evaluators tended to prioritize formal presentation and technical aspects of writing. Rather than replacing instructor judgment, the proposed model reframes assessment as a more rigorous, equitable, and reflexive pedagogical process. The study suggests that, when embedded within demanding, transparent, and reviewable pedagogical frameworks, generative artificial intelligence can operate as an epistemic agent within the Humanities, contributing meaningfully to the evaluation of complex historical learning outcomes. © This work is licensed under a ""CC BY 4.0"" license. https://creativecommons.org/licenses/by/4.0/deed.en","Analytical rubrics; Early Modern History; Generative Artificial Intelligence; Higher education; Hybrid assessment model","","A. Carrasco-Rodríguez; Facultad de Filosofía y Letras, Universidad de Alicante, Alicante, Spain; email: antonio.carrasco@ua.es","","Lundiana","19833652","","","","English","Texto Livre","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105034881186"
"Camacho-Zuñiga C.; Salas-Maxemín S.; Valle-Arce A.P.; Caratozzolo P.; Chans G.M.","Camacho-Zuñiga, Claudia (6504213461); Salas-Maxemín, Salvador (59517700000); Valle-Arce, Ana Paula (59517990900); Caratozzolo, Patricia (7801584968); Chans, Guillermo M. (38861166300)","6504213461; 59517700000; 59517990900; 7801584968; 38861166300","Toward a continuous learning educational model: insights from the experience of a Mexican private university","2025","Frontiers in Education","10","","1485034","","","5","10.3389/feduc.2025.1485034","https://www.scopus.com/pages/publications/105005796120?origin=resultslist","Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico","Camacho-Zuñiga C., Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico, School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Salas-Maxemín S., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Valle-Arce A.P., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Caratozzolo P., Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico, School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Chans G.M., Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico, School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico","The rapidly evolving and technology-driven labor market underscores the need for continuous education and lifelong learning to ensure individuals remain adaptable and professionally relevant. It demands institutions that effectively bridge the gap between education and the workforce by promptly and pertinently modifying its programs and curricula, led by educators who are highly experts in specific skills and knowledge, as well as with pedagogical knowledge. In this address, robust educational models become essential. The TEC21 Educational Model (TEC21), introduced in 2019 by Tecnologico de Monterrey, addresses these challenges by fostering disciplinary and transversal competencies critical for success in the professional and personal spheres. This study explores two key research questions: (1) How do students in international experiences perceive the implementation of TEC21’s four components—inspiring professors, flexibility, challenge-based learning (CBL), and memorable university experiences—at their home and host universities? (2) How does TEC21 align with the European Commission’s Industry 4.0 Curriculum Guidelines? Semi-structured interviews were conducted with 13 Mexican engineering undergraduates during their international study experiences using a cross-sectional qualitative design. The findings reveal that Inspiring Professors—characterized by continuous pedagogical training and deep expertise in industry, consulting, or research—stood out as pivotal in preparing students for complex, real-world contexts. Flexibility and accessibility enable students to balance diverse priorities through hybrid learning environments, a critical feature for lifelong learners. For CBL, the model’s emphasis on interdisciplinary, real-world projects fosters employability, although collaboration with socio-formative organizations was less evident at host universities. The Memorable University Experience component highlighted the transformative nature of internationalization despite limited engagement with extracurricular activities and student organizations at host institutions. This study demonstrates TEC21’s alignment with the European Commission’s Industry 4.0 Curriculum Guidelines, addressing key pillars such as collaboration, quality assurance, and curriculum content. This model can inspire continuous education institutions to bridge the gap between education and industry demands. It equips graduates with adaptability, interdisciplinary collaboration skills, and global readiness, positioning TEC21 as a cornerstone for lifelong learning and sustainable societal advancement in the Artificial Intelligence era. Copyright © 2025 Camacho-Zuñiga, Salas-Maxemín, Valle-Arce, Caratozzolo and Chans.","competency-based education; continuous education; educational innovation; educational models; higher education; lifelong learning; studying abroad experience; TEC21","","G.M. Chans; Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; email: guillermo.chans@tec.mx","","Frontiers Media SA","2504284X","","","","English","Front. Educ.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005796120"
"Huesca G.; Elizondo-García M.E.; Aguayo-González R.; Aguayo-Hernández C.H.; González-Buenrostro T.; Verdugo-Jasso Y.A.","Huesca, Gilberto (24721293600); Elizondo-García, Mariana E. (57201731955); Aguayo-González, Ricardo (59752086000); Aguayo-Hernández, Claudia H. (59348482000); González-Buenrostro, Tanya (59752891600); Verdugo-Jasso, Yuridia A. (59752661700)","24721293600; 57201731955; 59752086000; 59348482000; 59752891600; 59752661700","Evaluating the Potential of Generative Artificial Intelligence to Innovate Feedback Processes","2025","Education Sciences","15","4","505","","","7","10.3390/educsci15040505","https://www.scopus.com/pages/publications/105003412963?origin=resultslist","School of Engineering and Sciences, Tecnologico de Monterrey, Mexico City, 14380, Mexico; Educational Innovation and Digital Learning, Tecnologico de Monterrey, Monterrey, 64849, Mexico; School of Architecture, Art and Design, Tecnologico de Monterrey, Mexico City, 14380, Mexico; Academic Vicerectory, Tecnologico de Monterrey, Monterrey, 64849, Mexico; Digital Enablement and Transformation, Tecnologico de Monterrey, Monterrey, 64849, Mexico; Food Innovation International Center, Tecnologico de Monterrey, Ciudad Obregón, 85010, Mexico","Huesca G., School of Engineering and Sciences, Tecnologico de Monterrey, Mexico City, 14380, Mexico; Elizondo-García M.E., Educational Innovation and Digital Learning, Tecnologico de Monterrey, Monterrey, 64849, Mexico; Aguayo-González R., School of Architecture, Art and Design, Tecnologico de Monterrey, Mexico City, 14380, Mexico; Aguayo-Hernández C.H., Academic Vicerectory, Tecnologico de Monterrey, Monterrey, 64849, Mexico; González-Buenrostro T., Digital Enablement and Transformation, Tecnologico de Monterrey, Monterrey, 64849, Mexico; Verdugo-Jasso Y.A., Food Innovation International Center, Tecnologico de Monterrey, Ciudad Obregón, 85010, Mexico","Feedback is an essential component of the teaching–learning process; however, it can vary in quality due to different contexts and students’ and professors’ individual characteristics. This research explores the effect of generative artificial intelligence (GenAI) in strengthening personalized and timely feedback by initially defining an adaptable framework to integrate GenAI into feedback mechanisms defined in theoretical frameworks. We applied a between-subjects analysis in an experimental research design with 263 undergraduate students across multiple disciplines based on an approach consisting of a pretest–post-test process and control and focus groups to evaluate students’ perceptions of artificial intelligence-enhanced feedback versus traditional professor-led feedback. The results show that students who used GenAI declared statistically significantly higher satisfaction levels and a greater sense of ownership in the feedback process. Additionally, GenAI scaffolded continuous improvement and active student participation through a structured and accessible feedback environment, determining that 97% of students are willing to reuse the tool. These findings show that GenAI is a valuable tool to complement professors in the creation of an integrated feedback model. This study draws directions on future research on the combination of artificial intelligence and innovative strategies to produce a long-term impact on education. © 2025 by the authors.","ChatGPT; educational innovation; feedback process; generative AI; higher education; learning assessment; prompt engineering","","G. Huesca; School of Engineering and Sciences, Tecnologico de Monterrey, Mexico City, 14380, Mexico; email: ghjuarez@tec.mx","","Multidisciplinary Digital Publishing Institute (MDPI)","22277102","","","","English","Educ. Sci.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003412963"
"Rodríguez-Ponce E.; Ancoma C.; Oneto S.","Rodríguez-Ponce, Emilio (15021490600); Ancoma, Carla (59471591100); Oneto, Sofia (57750669800)","15021490600; 59471591100; 57750669800","Organizational learning in higher education institutions; [Aprendizaje organizacional en instituciones de educación superior]","2024","Revista de Ciencias Sociales","30","4","","473","489","3","10.31876/rcs.v30i4.43044","https://www.scopus.com/pages/publications/85211997157?origin=resultslist","Instituto de Alta Investigación en la Universidad de Tarapacá, Arica, Chile; Facultad de Ingeniería en, Universidad de Tarapacá, Arica, Chile; Ingeniera Civil Industrial, Investigadora del Departamento de Ingeniería Industrial y de Sistemas de, Facultad de Ingeniería en la Universidad de Tarapacá, Arica, Chile","Rodríguez-Ponce E., Instituto de Alta Investigación en la Universidad de Tarapacá, Arica, Chile; Ancoma C., Facultad de Ingeniería en, Universidad de Tarapacá, Arica, Chile; Oneto S., Ingeniera Civil Industrial, Investigadora del Departamento de Ingeniería Industrial y de Sistemas de, Facultad de Ingeniería en la Universidad de Tarapacá, Arica, Chile","Knowledge, key to competitive advantage, is generated through learning, which drives strategic renewal. Nowadays, organizational learning is key to development and adaptation to complex contexts. This research article aims to analyze organizational learning in higher education institutions, and also to identify which aspects are related to this learning (e.g. organizational culture, transformational leadership, organizational structure and institutional quality). To achieve this objective, a systematic review of articles from journals indexed in Web of Science is carried out. The findings show that organizational learning in higher education institutions requires the implementation of an adequate culture and effective leadership, fundamental elements for its concrete and sustainable development. In addition, it is crucial to consider the use of new technologies, such as artificial intelligence, to achieve significant improvements in the university environment. It is concluded that, in the era of knowledge and, especially, in the context of industry 5.0, organizational learning has been consolidated as an essential component to add value to institutions in general, and to educational institutions in particular. In this sense, various recommendations are presented to promote this type of learning. © (2024), (Universidad del Zulia). All rights reserved.","aprendizaje organizacional; artificial intelligence; calidad; cultura organizacional; inteligencia artificial; Leadership; Liderazgo; organizational culture; organizational learning; quality","","","","Universidad del Zulia","13159518","","","","English","Rev. Cienc. Soc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85211997157"
"Salinas-Navarro D.E.; Vilalta-Perdomo E.; Michel-Villarreal R.; Montesinos L.","Salinas-Navarro, David Ernesto (57208908312); Vilalta-Perdomo, Eliseo (55931930600); Michel-Villarreal, Rosario (57196017810); Montesinos, Luis (56493033000)","57208908312; 55931930600; 57196017810; 56493033000","Designing experiential learning activities with generative artificial intelligence tools for authentic assessment","2024","Interactive Technology and Smart Education","21","4","","708","734","71","10.1108/ITSE-12-2023-0236","https://www.scopus.com/pages/publications/85191875063?origin=resultslist","Community Resilience and Sustainability Education Lab (CoRSEL), Aston University, Birmingham, United Kingdom; Sustainability Research Institute, School of Earth and Environment, University of Leeds, Leeds, United Kingdom; Institute of Advanced Materials for Sustainable Manufacturing, Tecnologico de Monterrey, Mexico City, Mexico","Salinas-Navarro D.E., Community Resilience and Sustainability Education Lab (CoRSEL), Aston University, Birmingham, United Kingdom; Vilalta-Perdomo E., Community Resilience and Sustainability Education Lab (CoRSEL), Aston University, Birmingham, United Kingdom; Michel-Villarreal R., Sustainability Research Institute, School of Earth and Environment, University of Leeds, Leeds, United Kingdom; Montesinos L., Institute of Advanced Materials for Sustainable Manufacturing, Tecnologico de Monterrey, Mexico City, Mexico","Purpose: This article investigates the application of generative artificial intelligence (GenAI) in experiential learning for authentic assessment in higher education. Recognized for its human-like content generation, GenAI has garnered widespread interest, raising concerns regarding its reliability, ethical considerations and overall impact. The purpose of this study is to explore the transformative capabilities and limitations of GenAI for experiential learning. Design/methodology/approach: The study uses “thing ethnography” and “incremental prompting” to delve into the perspectives of ChatGPT 3.5, a prominent GenAI model. Through semi-structured interviews, the research prompts ChatGPT 3.5 on critical aspects such as conceptual clarity, integration of GenAI in educational settings and practical applications within the context of authentic assessment. The design examines GenAI’s potential contributions to reflective thinking, hands-on learning and genuine assessments, emphasizing the importance of responsible use. Findings: The findings underscore GenAI’s potential to enhance experiential learning in higher education. Specifically, the research highlights GenAI’s capacity to contribute to reflective thinking, hands-on learning experiences and the facilitation of genuine assessments. Notably, the study emphasizes the significance of responsible use in harnessing the capabilities of GenAI for educational purposes. Originality/value: This research showcases the application of GenAI in operations management education, specifically within lean health care. The study offers insights into its capabilities by exploring the practical implications of GenAI in a specific educational domain through thing ethnography and incremental prompting. Additionally, the article proposes future research directions, contributing to the originality of the work and opening avenues for further exploration in the integration of GenAI in education. © 2024, Emerald Publishing Limited.","Authentic assessment; ChatGPT; Experiential learning; GenAI; Higher education; Lean healthcare; Operations management","","L. Montesinos; Institute of Advanced Materials for Sustainable Manufacturing, Tecnologico de Monterrey, Mexico City, Mexico; email: lmontesinos@tec.mx","","Emerald Publishing","17415659","","","","English","Interact. Technol. Smart Educ.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85191875063"
"Medina-Gual L.; Parejo J.-L.","Medina-Gual, Luis (59518007700); Parejo, José-Luis (57204543634)","59518007700; 57204543634","Perceptions and Use of AI in Higher Education Students: Impact on Teaching, Learning, and Ethical Considerations","2025","European Journal of Education","60","1","e12919","","","7","10.1111/ejed.12919","https://www.scopus.com/pages/publications/85219543517?origin=resultslist","Universidad Iberoamericana CDMX, Mexico City, Mexico; Universidad de Valladolid, Segovia, Spain","Medina-Gual L., Universidad Iberoamericana CDMX, Mexico City, Mexico; Parejo J.-L., Universidad de Valladolid, Segovia, Spain","The present research explores AI's impact on education among Mexican undergraduate students through a non-experimental, correlational, cross-sectional study. A validated public questionnaire was distributed to 840 students via Google Forms from February to May 2024. Analysis revealed significant AI exposure and use patterns, primarily influenced by mass media and personal connections. Psychometric evaluations showed strong internal consistency (Cronbach's alpha = 0.97), with PCA and clustering identifying two student profiles: a knowledgeable majority and an optimistic minority with lower formal knowledge. Significant correlations were found between AI familiarity and perceived educational impact. These findings underscore the need for integrating formal AI training into curricula to bridge the gap between enthusiasm and practical knowledge, promoting ethical and effective AI use in higher education. This study informs policy and practice for aligning AI technologies with educational goals. © 2025 John Wiley & Sons Ltd.","artificial intelligence; artificial intelligence literacy; large language models; student perceptions; university students","","L. Medina-Gual; Universidad Iberoamericana CDMX, Mexico City, Mexico; email: luis.gual@ibero.mx","","John Wiley and Sons Inc","01418211","","","","English","Eur. J. Educ.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85219543517"
"Chamorro-Atalaya O.; Aldana-Trejo F.; Alvarado-Bravo N.; Nieves-Barreto C.; Aguilar-Loyaga S.; Gamarra-Bustillos C.; Torres-Quiroz A.; Riveros-Cuellar A.; Pérez-Samanamud M.; Pérez-Guevara L.","Chamorro-Atalaya, Omar (57729726800); Aldana-Trejo, Florcita (57225945936); Alvarado-Bravo, Nestor (57225975048); Nieves-Barreto, Constantino (57931533400); Aguilar-Loyaga, Santiago (58481851700); Gamarra-Bustillos, Carlos (57729279400); Torres-Quiroz, Almintor (57225980101); Riveros-Cuellar, Alípio (58127738700); Pérez-Samanamud, Manuel (58481452700); Pérez-Guevara, Luciano (57396368200)","57729726800; 57225945936; 57225975048; 57931533400; 58481851700; 57729279400; 57225980101; 58127738700; 58481452700; 57396368200","Identification of the satisfaction of university students through sentiment analysis: a systematic review","2025","International Journal of Evaluation and Research in Education","14","1","","37","49","2","10.11591/ijere.v14i1.26640","https://www.scopus.com/pages/publications/85212471982?origin=resultslist","Faculty of Engineering and Management, Universidad Nacional Tecnologica de Lima Sur, Lima, Peru; School of Economics, Universidad Nacional Federico Villarreal, Lima, Peru; Faculty of Administrative Sciences, Universidad Nacional del Callao, Lima, Peru; Faculty of Health Sciences, Universidad Autónoma de Ica, Ica, Peru; School of Economics, Universidad Nacional del Callao, Lima, Peru; Faculty of Administrative Sciences, Universidad Nacional Federico Villarreal, Lima, Peru; Education Faculty, Universidad Nacional Federico Villarreal, Lima, Peru","Chamorro-Atalaya O., Faculty of Engineering and Management, Universidad Nacional Tecnologica de Lima Sur, Lima, Peru; Aldana-Trejo F., School of Economics, Universidad Nacional Federico Villarreal, Lima, Peru; Alvarado-Bravo N., Faculty of Administrative Sciences, Universidad Nacional del Callao, Lima, Peru; Nieves-Barreto C., Faculty of Administrative Sciences, Universidad Nacional del Callao, Lima, Peru; Aguilar-Loyaga S., Faculty of Administrative Sciences, Universidad Nacional del Callao, Lima, Peru; Gamarra-Bustillos C., Faculty of Health Sciences, Universidad Autónoma de Ica, Ica, Peru; Torres-Quiroz A., School of Economics, Universidad Nacional del Callao, Lima, Peru; Riveros-Cuellar A., Faculty of Administrative Sciences, Universidad Nacional Federico Villarreal, Lima, Peru; Pérez-Samanamud M., Education Faculty, Universidad Nacional Federico Villarreal, Lima, Peru; Pérez-Guevara L., Education Faculty, Universidad Nacional Federico Villarreal, Lima, Peru","In these times it is necessary to use tools based on artificial intelligence (AI) that contribute to improving the quality of university education for the benefit of students. This article aims to define the state of the question on the application of sentiment analysis in the identification of student satisfaction, based on the systematic review of scientific publications. The research is of an exploratory level and of a mixed approach. The data collection method was based on the preferred reporting items for systematic reviews and meta-analyses (PRISMA) declaration, managing to focus the review based on 27 publications, downloaded from Scopus, ERIC, and Google Scholar. From the systematic review, the following conclusions were reached: the fields of application to a greater extent are found in the academic field and university well-being. Likewise, regarding the contributions achieved, these focused to a greater extent on aspects of the teaching activity, valuing their performance and contributing to their feedback for the redesign of didactic strategies. Finally, in terms of limitations, they focused mainly on the low student participation regarding the use of sentiment analysis to identify student satisfaction; this is due to the lack of regulations or regulations for it is application in the university environment. © 2024, Author. All rights reserved.","Artificial intelligence; Sentiment analysis; Student satisfaction; Systematic review; University","","O. Chamorro-Atalaya; Faculty of Engineering and Management, National Technological University of South Lima, Villa EL Salvador, Sector 3 Group 1A 03, Av. Central, Peru; email: ochamorro@untels.edu.pe","","Institute of Advanced Engineering and Science","22528822","","","","English","Int. J. Eval. Res. Educ.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85212471982"
"Mamani Quispe D.J.; Lazarte Vera E.A.; Higueras Matos M.M.; Moscoso Barrios J.P.","Mamani Quispe, Diego Jesús (58313856200); Lazarte Vera, Erick Armando (59514022000); Higueras Matos, Manuel Marco (60614041200); Moscoso Barrios, Jamaica Pennsylvania (60613590900)","58313856200; 59514022000; 60614041200; 60613590900","The Ethics of Artificial Intelligence in the development of research competencies in university students; [La ética en la Inteligencia artificial en el desarrollo de competencias investigativas en estudiantes universitarios]","2025","European Public and Social Innovation Review","10","","","","","1","10.31637/epsir-2025-2015","https://www.scopus.com/pages/publications/105001544934?origin=resultslist","Universidad de San Martín de Porres, Peru","Mamani Quispe D.J., Universidad de San Martín de Porres, Peru; Lazarte Vera E.A., Universidad de San Martín de Porres, Peru; Higueras Matos M.M., Universidad de San Martín de Porres, Peru; Moscoso Barrios J.P., Universidad de San Martín de Porres, Peru","Introduction: Artificial intelligence (AI) has turned out to be a novel tool in the research field, especially in university students, due to the advantages it offers, such as ease of data collection, synthesizing results, etc. However, this great development poses ethical challenges and degeneration of research skills. Methodology: The methodology used was a qualitative approach and phenomenological design, and the tool used was a semi-structured interview, which was applied to a sample of 11 undergraduate students of social sciences and business, analysing their experiences in order to obtain results. Results: The results highlight the remarkable benefits that this tool brings in the search for information and data collection, but also reflect the distrust in the results and the fear of dependence on AI. Discussion: Several ideas that point to the benefits and disadvantages of AI are confirmed, as well as the demand for guidance in the use of AI. Conclusions: It is concluded that AI is a valuable tool in higher education, but its use must be complemented with pedagogical strategies that foster critical thinking and ethical responsibility. © 2025, HISIN (History of Information Systems). All rights reserved.","academic ethics; Artificial intelligence; critical analysis; critical thinking; higher education; research benefits; research skills; university students","","D.J. Mamani Quispe; Universidad de San Martín de Porres, Peru; email: dmamaniq@usmp.pe","","HISIN (History of Information Systems)","25299824","","","","Spanish","Eur. public soc. innov. rev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001544934"
"Zavaleta C.E.F.","Zavaleta, Cecilia Esperanza Flores (57225978940)","57225978940","Revisión sistemática de la literatura sobre las tecnologías de e-proctoring para la supervisión de exámenes en educación superior: Entre la innovación y el daño","2024","Perfiles Educativos","46","185","","26","41","0","10.22201/iisue.24486167e.2024.185.61323","https://www.scopus.com/pages/publications/85200263922?origin=resultslist","Departamento de Humanidades, Universidad Peruana de Ciencias Aplicadas, Peru","Zavaleta C.E.F., Departamento de Humanidades, Universidad Peruana de Ciencias Aplicadas, Peru","E-proctoring or remote monitoring of examinations is a recent and expanding phenomenon in Latin American higher education. This article identified the research objectives described in the literature on the use of this technology in the university context. A systematic review was carried out based on the criteria of PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses): 1) identification of information sources in Web of Science and Scopus using a search equation; 2) elimination of duplicate items by author and title; 3) screening from the revision of the title, abstract and inclusion and exclusion criteria; and 4) complete review of screened articles for eligibility. The findings were categorized into four: effectiveness of e-proctoring; reconfiguration of relations between educational actors; perceptions of students and teachers; and factors involved in the acceptance and implementation of e-proctoring. © (2024), (Universidad Nacional Autonoma de Mexico). All Rights Reserved.","Artificial intelligence; Educational technology; Examinations; Higher education; Learning assessment; Technological innovations","","C.E.F. Zavaleta; Departamento de Humanidades, Universidad Peruana de Ciencias Aplicadas, Peru; email: pchucflo@upc.edu.pe","","Universidad Nacional Autonoma de Mexico","01852698","","","","Spanish","Perfiles Educativos","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85200263922"
